Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
1095958,31-03-2020 12:49,2660000000000000.0,Little-Gleichner,travel,2.85,Alan,Howard,M,04139 Johnson Prairie Suite 401,Detroit,MI,48206,42.3749,-83.1087,673342,Trading standards officer,1/11/1946,3d85fcdd0da82e5cb91f2c7dcd63cfd4,1364734172,41.831389,-82.544189
368558,10/11/2020 23:13,4100000000000.0,Kihn Inc,shopping_pos,704.86,Christopher,Adkins,M,3512 Knight Center,Lorenzo,TX,79343,33.6666,-101.5277,1571,Petroleum engineer,27-06-1982,cae31520cd09c677a400cec1ef72d56a,1384125231,33.894833,-101.576969
114558,31-07-2020 12:01,4510000000000.0,"Kihn, Brakus and Goyette",personal_care,23.02,Alicia,Hawkins,F,507 John Overpass Suite 424,Harwood,MD,20776,38.8582,-76.6145,3289,Quantity surveyor,15-03-1933,1425cd49b4153700abd1bcdb289db5b1,1375272080,38.65033,-75.795013
358365,7/11/2020 12:57,4630000000000000.0,Gislason Group,misc_pos,1.92,Mackenzie,Smith,F,7178 Willis Drive,Hooper,NE,68031,41.6414,-96.5232,1745,"Engineer, automotive",26-12-1973,34de82811cad4a54ae62e60318fb8033,1383829031,41.35155,-97.453922
478930,29-07-2019 01:19,4290000000000.0,Cole PLC,grocery_pos,123.84,Misty,Rivera,F,1980 Vasquez Manors Apt. 574,Catawba,VA,24070,37.3696,-80.1284,1363,Equality and diversity officer,23-08-1940,c2a3314dd8ea957237667c766493c5d5,1343524745,37.045725,-80.898947
171336,31-03-2019 11:26,4.43e+18,DuBuque LLC,grocery_pos,62.76,Kyle,James,M,621 Smith Hollow Apt. 738,Topeka,KS,66616,39.0645,-95.6413,163415,Clinical cytogeneticist,25-06-1975,15d0605ec67a38a5700efa5010c1819e,1333193196,39.85578,-96.073709
1033566,3/3/2020 22:45,6010000000000000.0,Kutch-Wilderman,home,56.43,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,8/2/1983,bd03b3cfdbc6f4dad9ee8cb6da3e9d49,1362350735,33.907341,-77.429291
148602,11/8/2020 19:23,6510000000000000.0,"Yost, Schamberger and Windler",kids_pets,83.99,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,4/5/1984,f0122d9a9ce178b89f15ad0a23874fb0,1376248990,31.633604,-95.063997
791590,2/12/2019 7:40,4.6e+18,Mohr Inc,shopping_pos,42.05,Mary,Myers,F,39787 Pamela Fall Suite 639,Tiptonville,TN,38079,36.3846,-89.4649,5577,Geochemist,30-12-1964,2ab2b01f374697628f9c1067d3f292f9,1354434023,37.14568,-90.313177
46439,7/7/2020 2:08,4780000000000.0,Cormier LLC,shopping_net,73.71,Jessica,Garcia,F,13108 Jennifer Passage,Mc Cracken,KS,67556,38.5957,-99.554,320,Film/video editor,22-04-1961,626250c2085d375c9c1859bbf5e3b4c9,1373162925,39.305841,-100.322941
276639,2/10/2020 11:55,676000000000.0,Rempel PLC,grocery_net,64.86,Brittany,Cox,F,07177 William Dale Apt. 547,Santa Monica,CA,90403,34.0287,-118.4924,92043,"Civil engineer, contracting",25-04-1961,53a8ff110db751aa8ec53be26753c224,1380714915,34.305714,-117.988222
427048,3/12/2020 14:28,630000000000.0,Rau-Grant,kids_pets,12.86,Stephanie,Gill,F,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,21-06-1978,b8fa9c81c135f17e456ec4ebaaabf2c2,1386080906,49.264327,-118.549841
279119,18-05-2019 10:02,2300000000000000.0,Schmitt Inc,gas_transport,108.1,Laura,Walker,F,611 Michael Rue,Cisco,IL,61830,39.9972,-88.6962,478,Landscape architect,13-01-1960,c2638f96c7934b50a11d8107359cb816,1337335366,40.191009,-87.861508
503279,6/8/2019 11:27,4340000000000000.0,"Ferry, Lynch and Kautzer",misc_net,7.45,Kevin,Elliott,M,1852 Vincent Isle Suite 328,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,16-02-1994,77b920a78866a6079858984af189f133,1344252434,42.202411,-75.273986
1077019,23-03-2020 13:12,4150000000000000.0,Fritsch and Sons,health_fitness,73.34,Tanner,Carroll,M,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632,Dealer,8/4/1989,49fb537d850ae1579dfad711f6c09365,1364044367,40.258585,-80.85275
332510,26-10-2020 17:51,3570000000000000.0,Schroeder Group,health_fitness,16.5,Kristina,Stewart,F,47029 Jimmy Tunnel Apt. 106,Newhall,CA,91321,34.3795,-118.523,34882,Health physicist,25-04-1971,de57a4b9b422c4c28fa26a57996f39d5,1382809876,34.498537,-118.137009
563766,28-08-2019 00:35,6010000000000000.0,Doyle Ltd,grocery_pos,83.38,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26-10-1988,1fb2ac1a8d77a4301548cf75afdcfba5,1346114156,38.370781,-93.70541
208821,16-04-2019 14:23,4.09e+18,Bogisich-Weimann,kids_pets,10.95,Debra,Stark,F,686 Linda Rest,Kilgore,TX,75662,32.3836,-94.8653,24536,Multimedia programmer,14-10-1983,cd4d71214cae7ce27291ec2c61d24f99,1334586189,31.442786,-95.502416
49381,7/7/2020 20:21,3590000000000000.0,Bins-Tillman,entertainment,2.29,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,25-07-1987,15a94f02bcfe7d8f7227f1ef5f30ef60,1373228489,29.339044,-81.06338
102407,27-07-2020 03:53,3500000000000000.0,Rutherford-Mertz,grocery_pos,41.47,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,8/9/1976,cc0b3884cfbdb86f248e4d6dd4fd5bfc,1374897206,38.448241,-77.005311
312074,18-10-2020 05:05,571000000000.0,Padberg-Welch,grocery_pos,77.47,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26-02-1976,6cd1dfc06bc37e1859f3beb1d260fe0e,1382072711,43.485078,-108.05208
444046,7/12/2020 12:00,373000000000000.0,Gutmann-Upton,misc_pos,49.3,Lori,Ramirez,F,4293 Ramirez Squares,Ranier,MN,56668,48.6031,-93.2977,136,Ceramics designer,20-02-2000,1b7386ca4c547d54efd1db58bd8c320a,1386417630,48.905965,-92.694434
435724,14-07-2019 01:35,4150000000000000.0,Christiansen-Gusikowski,misc_pos,4.46,Edward,Tapia,M,354 Gutierrez Gateway,Comfrey,MN,56019,44.1111,-94.9134,914,Health and safety adviser,26-07-1944,94567dc4e325306578ee98dab0251cad,1342229715,44.883566,-94.556146
440427,15-07-2019 08:04,3530000000000000.0,Bauch-Raynor,grocery_pos,92.97,Teresa,Stein,F,2838 White Fields Apt. 473,Brunson,SC,29911,32.9413,-81.1807,1725,Social researcher,5/12/1974,0cf7bd84f806c3507ab318d309eb4191,1342339462,33.298154,-81.905621
288940,7/10/2020 4:46,38500000000000.0,"Turner, Ruecker and Parisian",misc_pos,52.23,Veronica,Burton,F,08932 Bonnie Stravenue,Bonita Springs,FL,34135,26.3771,-81.7334,51427,Claims inspector/assessor,21-08-1991,6e4c13fd7635206fa6c3bcbde6a8d8ec,1381121181,25.866904,-82.443019
199936,13-04-2019 07:44,2700000000000000.0,Rutherford-Mertz,grocery_pos,188.98,Jennifer,Banks,F,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",9/3/1988,7af212ec6c000b10a093719d56f99bcf,1334303059,37.034356,-81.883861
126806,11/3/2019 7:49,36700000000000.0,Kling Inc,gas_transport,43.62,Cesar,Smith,M,901 Ariel Points,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1/7/1968,f3164360c789727c47ff15afef15b7f3,1331452185,43.394035,-74.84261
546771,22-08-2019 09:15,3510000000000000.0,"Swaniawski, Bahringer and Ledner",grocery_net,45.69,James,Cooper,M,663 Ramirez Trace Apt. 951,Huntsville,AL,35811,34.7789,-86.5438,190178,Television production assistant,1/4/1973,f23176f232157733b7bacc592a9bc71a,1345626908,34.866719,-87.463194
1194709,14-05-2020 03:07,2380000000000000.0,Lynch Ltd,shopping_pos,1.25,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,2/3/1956,8cfda3cfc3ab25ab09b8b59007187f76,1368500834,43.251273,-71.546601
268245,28-09-2020 15:21,3550000000000000.0,Zboncak LLC,food_dining,160.72,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,5/3/1999,27d69bb48bb0deb25ddf2c0099ea0e37,1380381672,32.744633,-91.443536
148196,11/8/2020 17:08,3530000000000000.0,"Runolfsdottir, Mueller and Hand",entertainment,4.94,Scott,Fuller,M,861 Karen Common,Haw River,NC,27258,36.0424,-79.3242,6006,Paramedic,20-07-1984,7cdd7c9067e748873704b783fc9de251,1376240927,36.434513,-78.990819
