Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
831393,11/12/2019 5:12,373000000000000.0,"Kohler, Lindgren and Koelpin",grocery_net,43.92,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,18-06-1985,f11933f32df4b28170f8146606cb10eb,1355202743,42.283319,-82.493949,0
1155391,27-04-2020 03:20,30100000000000.0,Kling Inc,gas_transport,66.45,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,7747,40.4109,-74.238,30770,Drilling engineer,29-04-1993,05f71b7b72c1510613d9c36ba0785c4f,1367032828,41.370892,-73.999171,0
814752,7/12/2019 22:20,4680000000000000.0,"Turner, Ziemann and Lehner",food_dining,217.89,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",19-04-1995,af672beef85cb656cb62d148ec933aa8,1354918821,33.343559,-118.481417,0
553710,24-08-2019 21:41,3510000000000000.0,Kuhn Group,food_dining,53.35,Randy,Murphy,M,0356 Sarah Light,Ballwin,MO,63021,38.577,-90.5255,92608,"Engineer, communications",26-07-2001,2863f374cd364d022a814e5fb0881b4d,1345844511,38.494694,-91.432793,0
171066,31-03-2019 08:49,3560000000000000.0,"Kerluke, Kertzmann and Wiza",misc_net,32.69,Jose,Campbell,M,550 Cunningham Squares,Dadeville,AL,36853,32.8224,-85.7704,8269,Minerals surveyor,4/1/1977,14e64cfe41ef0a67bd1a6ff3f40b45a5,1333183772,32.027954,-85.204433,0
1142402,20-04-2020 22:59,4920000000000000.0,Heller PLC,health_fitness,29.54,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,7/3/1941,3c300918ae474c7db096d74ac3626c99,1366498756,41.141737,-80.535472,0
193356,28-08-2020 09:21,6010000000000000.0,McGlynn-Heathcote,misc_net,2.66,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",9/8/1972,b72872b881e9aca6e4d43d1469c7878a,1377681690,39.216571,-78.003561,0
394245,29-06-2019 13:37,4.05e+18,Kovacek Ltd,travel,7.62,Bianca,Scott,F,9588 Cox Rapid Apt. 257,Atglen,PA,19310,39.9458,-75.9703,3066,Product manager,15-07-1928,6d9aa5d40dc788ed9d5f947ef8243b2f,1340977041,38.965979,-75.405207,0
511175,21-12-2020 22:25,4590000000000000.0,Erdman-Schaden,personal_care,57.52,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,4555,44.0943,-69.4828,1643,Financial trader,12/4/1976,f5f389e58fdd01e87d59be6336fe59a8,1387664709,43.59628,-69.602285,0
616413,19-09-2019 06:18,3550000000000000.0,"Kerluke, Considine and Macejkovic",misc_net,2.47,Jordan,May,M,1626 Susan Course,Aledo,TX,76008,32.7004,-97.6039,13602,Optometrist,5/7/1984,f4185651254799e7964f4910262ff9a6,1348035527,33.107537,-96.814451,0
58594,11/7/2020 22:21,4650000000000000.0,"Crist, Jakubowski and Littel",home,57.19,Monica,Tucker,F,302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841,"Therapist, sports",6/6/1999,6b2a7e200fd370b536361ceaceac09bb,1373581302,37.326557,-85.265538,0
473014,13-12-2020 22:26,4550000000000000.0,"Hagenes, Hermann and Stroman",travel,1.84,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,29-05-1968,e235f4312eeb29cc05b5c39fc87c6ef3,1386973605,41.580445,-83.509117,0
42757,6/7/2020 5:17,3520000000000000.0,"Swaniawski, Bahringer and Ledner",grocery_net,56.51,Grace,Williams,F,28812 Charles Mill Apt. 628,Plantersville,AL,36758,32.6176,-86.9475,1412,Drilling engineer,20-11-1970,30c283f7eda10d1b68bfc845199f5c41,1373087852,32.178629,-86.211054,0
396230,23-11-2020 17:58,36200000000000.0,"Haley, Batz and Auer",health_fitness,11.73,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,13-10-1949,b8d9a0450f80e121d06f214f8017dc5f,1385229535,28.303622,-82.818035,0
1021374,26-02-2020 13:35,4410000000000000.0,Schoen Ltd,kids_pets,70.22,Richard,Marshall,M,295 Page Creek Suite 181,Greenbush,VA,23357,37.7681,-75.6664,776,Psychiatrist,17-11-1949,ee817031b192d29ed70c79a2a12866c7,1361885708,38.196916,-76.265178,0
65376,13-07-2020 20:00,345000000000000.0,Welch Inc,misc_net,6.47,Justin,Fowler,M,5569 Phillips Neck Apt. 003,Coffeeville,MS,38922,33.9215,-89.6782,3451,Financial trader,19-05-1984,a6323aae71bfc546267b3c1c4b034541,1373745632,33.193369,-89.583676,0
212818,4/9/2020 15:29,676000000000.0,Abbott-Rogahn,entertainment,49.88,Robert,Martinez,M,3683 Parrish Circles,Pueblo,CO,81005,38.2352,-104.66,151815,Further education lecturer,4/1/1988,dd3237bd133dab4cd78134aa1a747050,1378308578,39.081433,-103.697015,0
301203,12/10/2020 21:37,3520000000000000.0,Champlin and Sons,home,77.23,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,27-08-1978,e8f726c7b9afb418d2710984baa6d5b2,1381613851,40.648349,-106.450893,0
543309,29-12-2020 00:58,3600000000000000.0,Cartwright-Harris,grocery_pos,126.4,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,25-03-1988,2bb81ec1e7f74e052e359d0fa38ad8b0,1388278690,41.161094,-91.316599,0
165878,29-03-2019 05:42,4200000000000.0,Kassulke PLC,shopping_net,93.38,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",4/4/1963,eae219d677cd89d51f55bb9d1c110508,1332999730,46.191523,-123.203786,0
76406,18-07-2020 02:12,180000000000000.0,VonRueden Group,grocery_net,50.25,Karen,Ryan,F,82468 Michelle Village Suite 556,Joliet,IL,60432,41.5378,-88.0572,128354,"Teacher, secondary school",20-01-1992,5e9479d98dc7c7da74bc47b2acf29ebd,1374113534,41.024474,-88.473755,0
193176,28-08-2020 06:56,4670000000000000.0,"Turcotte, McKenzie and Koss",entertainment,6.7,Bianca,Novak,F,0953 David Skyway,Cuthbert,GA,39840,31.7706,-84.7936,5726,Fitness centre manager,14-08-1947,6c7782d4d342b358ecfdcd23fdfe8219,1377672986,32.305355,-84.618181,0
124951,3/8/2020 20:21,676000000000.0,Adams-Barrows,health_fitness,95.37,Ellen,Smith,F,285 George Lake,Beaver Falls,PA,15010,40.7687,-80.3592,28425,Podiatrist,9/6/2000,a8d76171a9dec041b6be41674272ba90,1375561270,41.453742,-81.148674,0
474097,14-12-2020 03:12,30600000000000.0,Pfeffer LLC,grocery_net,78.07,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,14-11-1973,0de28dcbf1430d5ea07b21a4c6e709f4,1386990740,34.904587,-80.845614,0
537829,18-08-2019 21:10,4.74e+18,"Kihn, Brakus and Goyette",personal_care,42.23,Toni,Gomez,F,062 Carl Dam,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",23-05-1953,269ba5d84b0255bb891e3572cb17500b,1345324228,45.861927,-73.957868,0
1144191,21-04-2020 14:44,30200000000000.0,"Nienow, Barrows and Romaguera",personal_care,5.6,James,Baldwin,M,3603 Mitchell Court,Winfield,WV,25213,38.5072,-81.89,5512,Exhibition designer,24-03-1980,bfe9d1d5f5de82ccc6c289187c705b04,1366555478,39.117833,-82.469053,0
50639,8/7/2020 9:33,6520000000000000.0,Bernhard Inc,gas_transport,35.35,James,Reese,M,26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196,"Librarian, academic",11/6/1958,5a05f9d4be18144b13acf9579bde1c6d,1373276028,32.366401,-90.40277,0
814188,7/12/2019 20:16,372000000000000.0,Windler LLC,kids_pets,116.14,Benjamin,Martin,M,0495 Baker Manors,Oriskany Falls,NY,13425,42.9576,-75.4838,1970,"Programmer, multimedia",9/6/1949,2e1fac53a9c58f19f42d7de5150801c5,1354911378,42.910714,-75.815357,0
1270340,11/6/2020 20:38,30500000000000.0,Kihn-Fritsch,food_dining,3.15,Derrick,George,M,575 Chapman Union,Spring,TX,77379,30.0377,-95.5326,316665,"Education officer, museum",12/9/1990,2f5c0f223b73b5984f38101ea78dbd37,1370983094,30.215718,-95.436921,0
341068,10/6/2019 1:21,3570000000000000.0,Conroy Ltd,shopping_pos,7.51,Ryan,Arnold,M,2056 Michael Wells Apt. 348,Prairie Creek,IN,47869,39.4336,-87.4101,137,Materials engineer,12/3/1967,84172a6f9f1feb3beb90e134f2f913fc,1339291286,38.725462,-87.804596,0
165936,18-08-2020 06:24,4180000000000000.0,Kuvalis Ltd,gas_transport,63.65,Belinda,Jimenez,F,6807 Jacob Skyway Apt. 331,Rockwell,IA,50469,43.0032,-93.2167,1574,"Scientist, audiological",27-12-1982,7ae377f7c47c6b7ffbffe51b564c87f7,1376807074,42.817492,-92.592312,0
213339,4/9/2020 20:42,30200000000000.0,Beier and Sons,home,85.29,Hayden,Sanders,M,8465 Reed Green Suite 559,Montandon,PA,17850,40.9661,-76.8575,645,Orthoptist,18-05-1974,a86ffea998dd4b47e23c854c7d8c7104,1378327336,41.147706,-76.463422,0
670758,13-10-2019 05:39,30400000000000.0,Stracke-Lemke,grocery_pos,91.69,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,20-11-1969,c9c874cf85b0f2a8775aae21df80f85f,1350106791,41.896827,-83.947083,0
17605,27-06-2020 15:18,3590000000000000.0,Osinski Inc,personal_care,8.08,Kimberly,Gonzalez,F,72966 Shannon Pass Apt. 391,Bauxite,AR,72011,34.5091,-92.4828,4074,"Scientist, audiological",20-12-1975,93bea7b3c7fa99c2590dad95af0a19d4,1372346325,34.337633,-91.869554,0
236872,14-09-2020 18:38,4680000000000000.0,Larson-Moen,entertainment,104.55,Charles,Carrillo,M,17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193,"Editor, magazine features",19-04-1995,daf896680120789b9537fb624ac4292a,1379183931,34.692876,-118.688015,0
544515,21-08-2019 07:03,30300000000000.0,Jewess LLC,shopping_pos,272.46,Jacob,Dawson,M,663 Anna Plaza,Marienville,PA,16239,41.4622,-79.1306,4172,"Copywriter, advertising",20-03-1962,a2d683a2a3e4b8c027fb1c6c6569cd6b,1345532600,41.357511,-78.24288,0
1020727,25-02-2020 23:03,3560000000000000.0,Lynch-Mohr,travel,1.86,William,Skinner,M,524 Wu Spurs Suite 894,Mount Hope,AL,35651,34.4793,-87.4769,1312,"Librarian, academic",1/2/1955,88a64f41ca9bae115e1fed8383156700,1361833399,35.130267,-87.256155,0
570641,31-08-2019 00:26,3570000000000000.0,Sawayn PLC,shopping_pos,96.48,Steven,Castaneda,M,46809 Toni Flat Suite 216,Lamy,NM,87540,35.4311,-105.9409,923,Public relations account executive,22-06-1964,190b78688d38247cc1076a5989f3825e,1346372788,35.666299,-106.457961,0
